Video Title,Video ID,Published Date,Views,Likes,Comments,Engagement Rate (%)
Rachael Kirkconnell: I Was Blindsided (Full Interview),L3qAkv3oruE,2025-01-29T02:00:07Z,1056105,14587,2611,1.63
Katt Williams | This Past Weekend w/ Theo Von #558,4oik0NXo0-M,2025-01-28T22:20:07Z,1823032,87178,13395,5.52
I'm Quitting YouTube... I'm Selling the Ranch,rQ9oep6FwAY,2025-01-28T14:42:05Z,815562,91384,19960,13.65
"""THE TOMB"" EASY EASTER EGG GUIDE! - ICE STAFF UPGRADE & BOSS FIGHT TUTORIAL! (Black Ops 6 Zombies)",FAMyydMcxOM,2025-01-29T01:56:09Z,274989,8506,952,3.44
Why Super Glue Is Perfect For Gluing Skin,Ni82f1-cAXg,2025-01-28T19:17:22Z,2587326,95734,4632,3.88
...Why Dawn Divorced me.,7NLH5sWPi4Q,2025-01-29T00:38:22Z,270441,18934,0,7.0
Tom and I are divorced...this sucks.,SnsfPeSiQRI,2025-01-28T20:02:55Z,551846,41002,9372,9.13
Latto - Blick Sum (feat. Playboi Carti) [Official Video],3oA8kt8685I,2025-01-28T05:00:03Z,1258976,99048,7480,8.46
YAILIN LA MAS VIRAL x EBENEZER GUERRA - NSSI (VIDEO OFICIAL),pWjktUcAvws,2025-01-29T02:52:50Z,434905,72747,14421,20.04
Sinners | Official Trailer 2,7joulECTx_U,2025-01-28T17:00:11Z,4042414,38919,2862,1.03
"EASY Ice Staff Guide - ""The Tomb"" (Black Ops 6 Zombies)",ZR_Jvf3mTi8,2025-01-28T20:06:05Z,186879,3599,339,2.11
Can We Beat Dustin & Austin Johnson in a Golf Match? (2v2 Series EP.1),TuM-s-2qnI0,2025-01-28T16:59:01Z,446450,21589,2485,5.39
The Hidden Pattern in Post Codes,1K5oDtVAYzk,2025-01-28T21:45:11Z,533194,54299,90,10.2
I Built a MINI V8 Ford Raptor R,i2R3-eFpPY4,2025-01-27T21:54:43Z,1596019,68515,2872,4.47
The Brett Cooper Show | Official Trailer,zW3s9ArVweA,2025-01-27T18:00:53Z,1515360,192755,25639,14.41
FBI Most Wanted fugitive captured in Florida,sIT00GBK64M,2025-01-28T11:56:11Z,946523,14855,2786,1.86
Deepseek R1 Explained by a Retired Microsoft Engineer,r3TpcHebtxM,2025-01-28T02:47:25Z,1400864,92439,6360,7.05
This Is Not Normal,ZfBkw0j-QIs,2025-01-28T15:45:24Z,494218,42276,2605,9.08
CENTRAL CEE - TRUTH IN THE LIES (FEAT. LIL DURK) (MUSIC VIDEO),BOBS4eEAAVs,2025-01-27T19:00:07Z,1836671,145419,7918,8.35
WE ARE SO BACK - Turbo Dismount 2,-eVOxb2KQSI,2025-01-28T17:00:00Z,890030,77219,4500,9.18
"I Went Broke, so I Got a Job at McDonald’s!",IUgwHfCnn9c,2025-01-28T01:37:18Z,627822,23691,1575,4.02
OFFLINETV PLAYS LIAR'S BAR IN REAL LIFE,3jFPAcz71M4,2025-01-28T05:06:14Z,893247,60353,2333,7.02
Big Tech in panic mode... Did DeepSeek R1 just pop the AI bubble?,Nl7aCUsWykg,2025-01-27T19:27:11Z,3339661,143545,10003,4.6
"Thandel - Official Trailer | Naga Chaitanya, Sai Pallavi | Chandoo Mondeti | Devi Sri Prasad",6jBEzTbanUc,2025-01-28T13:32:09Z,10458188,196855,4709,1.93
Vice President JD Vance's first interview | Face the Nation,rPso1-N9O9s,2025-01-26T16:44:45Z,2092784,45554,25478,3.39
